Date,Quantity,Revenue,Transactions
2011-02-28,9873,21675.29,57
2011-03-01,12137,26344.68,62
2011-03-02,8612,18669.94,43
2011-03-03,20075,36367.14,49
2011-03-04,13560,19486.88,49
2011-03-06,5027,9959.62,27
2011-03-07,14006,32318.72,68
2011-03-08,14537,25035.12,48
2011-03-09,11861,22013.2,53
2011-03-10,15583,26118.27,57
2011-03-11,10521,25473.93,53
2011-03-13,2733,4117.22,16
2011-03-14,16737,25876.63,50
2011-03-15,8941,23453.34,52
2011-03-16,12883,21842.81,52
2011-03-17,20975,39852.51,62
2011-03-18,13938,28107.65,64
2011-03-20,14038,21949.68,60
2011-03-21,10292,16679.47,53
2011-03-22,16548,31468.23,53
2011-03-23,14374,24078.89,63
2011-03-24,18164,36496.79,68
2011-03-25,14083,31362.56,56
2011-03-27,4496,9206.72,32
2011-03-28,12222,23133.23,61
2011-03-29,32803,70711.92,62
2011-03-30,20621,31821.71,75
2011-03-31,16832,34268.4,66
2011-04-01,18459,25565.64,75
2011-04-03,5658,6897.18,20
2011-04-04,14004,33234.48,59
2011-04-05,15558,30052.82,52
2011-04-06,9156,17338.36,40
2011-04-07,10508,18465.44,64
2011-04-08,12985,25240.59,71
2011-04-10,5603,9879.75,32
2011-04-11,13632,22345.93,64
2011-04-12,15311,25534.94,62
2011-04-13,18752,24450.27,60
2011-04-14,18858,36084.1,86
2011-04-15,12717,28311.821,56
2011-04-17,8136,12630.34,42
2011-04-18,29825,55983.99,69
2011-04-19,14461,24296.85,59
2011-04-20,18371,28667.32,63
2011-04-21,18210,32582.2,77
2011-04-26,16135,30999.88,71
2011-04-27,18218,25916.15,65
2011-04-28,13396,22490.44,59
2011-05-01,3814,6958.11,18
2011-05-03,12454,35196.21,66
2011-05-04,17363,27521.96,65
2011-05-05,17436,29133.41,89
2011-05-06,19945,36122.98,82
2011-05-08,10621,18731.98,63
2011-05-09,13354,27883.46,71
2011-05-10,19784,47756.53,96
2011-05-11,18894,33647.85,80
2011-05-12,37774,61829.27,86
2011-05-13,15217,30679.84,73
2011-05-15,4895,9911.38,31
2011-05-16,16019,39651.28,68
2011-05-17,26769,55106.99,82
2011-05-18,19013,34376.26,73
2011-05-19,18124,35567.71,99
2011-05-20,15348,26579.95,71
2011-05-22,12645,24102.0,61
2011-05-23,18169,34610.64,68
2011-05-24,15936,37658.39,68
2011-05-25,13163,24393.9,65
2011-05-26,16264,33497.03,64
2011-05-27,16209,28387.93,64
2011-05-29,4067,7338.9400000000005,24
2011-05-31,11724,22652.61,54
2011-06-01,10965,20585.19,42
2011-06-02,14586,32800.49,52
2011-06-03,7679,16895.1,44
2011-06-05,13397,25423.760000000002,67
2011-06-06,9459,17767.12,57
2011-06-07,18731,37857.31,78
2011-06-08,21260,43194.43,99
2011-06-09,28265,46341.52,85
2011-06-10,10669,62234.439999999995,50
2011-06-12,9457,12441.94,39
2011-06-13,11291,22434.76,59
2011-06-14,14602,40447.53,57
2011-06-15,30381,48974.63,59
2011-06-16,20272,34529.01,83
2011-06-17,11753,21070.47,52
2011-06-19,15069,22421.48,60
2011-06-20,16599,37489.24,74
2011-06-21,14183,24752.87,55
2011-06-22,15818,21799.32,60
2011-06-23,14670,25155.63,72
2011-06-24,9981,19516.29,51
2011-06-26,3760,7032.36,26
2011-06-27,9898,16985.31,45
2011-06-28,21747,35545.83,55
2011-06-29,12070,22087.47,42
2011-06-30,21949,44763.51,70
2011-07-01,7641,13632.210000000001,49
2011-07-03,3091,5972.7300000000005,25
2011-07-04,15698,44609.03,52
2011-07-05,22092,40754.68,73
2011-07-06,19165,26361.28,70
2011-07-07,19141,32412.43,76
2011-07-08,12707,27057.35,65
2011-07-10,4204,5959.54,24
2011-07-11,15106,22529.66,52
2011-07-12,13954,26252.85,53
2011-07-13,16267,22620.61,59
2011-07-14,17524,33560.26,71
2011-07-15,7310,14793.83,42
2011-07-17,11019,17154.26,51
2011-07-18,15098,38814.88,65
2011-07-19,29168,50166.76,67
2011-07-20,17676,33252.33,58
2011-07-21,19907,32695.77,76
2011-07-22,10270,20119.97,43
2011-07-24,17661,27080.46,58
2011-07-25,16095,26876.39,59
2011-07-26,13709,21635.561,53
2011-07-27,13962,25593.74,48
2011-07-28,30256,56243.32,80
2011-07-29,11559,18716.54,64
2011-07-31,19413,33209.68,42
2011-08-01,11669,21358.64,40
2011-08-02,15718,26575.55,44
2011-08-03,16499,28068.2,64
2011-08-04,41143,65496.79,82
2011-08-05,12750,21417.13,55
2011-08-07,5175,7543.86,30
2011-08-08,13336,23363.01,40
2011-08-09,16258,27672.24,42
2011-08-10,14414,28780.05,49
2011-08-11,39228,72372.89,69
2011-08-12,11978,32231.35,51
2011-08-14,3172,5701.87,25
2011-08-15,10173,17235.95,48
2011-08-16,11184,19234.53,53
2011-08-17,25649,53284.76,54
2011-08-18,34028,54059.1,69
2011-08-19,10664,17336.07,56
2011-08-21,8081,14420.27,39
2011-08-22,15542,29645.54,65
2011-08-23,15172,25978.59,64
2011-08-24,29360,48789.72,76
2011-08-25,13316,23773.43,74
2011-08-26,17125,25610.29,47
2011-08-28,6701,10686.56,37
2011-08-30,10236,31837.77,41
2011-08-31,12449,25367.22,47
2011-09-01,27850,37358.62,76
2011-09-02,18433,42226.28,74
2011-09-04,10920,17040.74,50
2011-09-05,22742,36898.35,68
2011-09-06,15070,28321.06,64
2011-09-07,16390,34413.53,52
2011-09-08,17404,27055.88,76
2011-09-09,17358,30016.33,62
2011-09-11,20906,35206.92,75
2011-09-12,16824,29526.29,68
2011-09-13,36519,55071.3,67
2011-09-14,14186,23578.78,68
2011-09-15,29281,78151.97,83
2011-09-16,15051,27720.27,50
2011-09-18,8937,15639.55,27
2011-09-19,29248,49250.87,71
2011-09-20,43683,109553.9,70
2011-09-21,22312,48529.72,75
2011-09-22,33144,59220.41,112
2011-09-23,21872,40574.4,64
2011-09-25,19424,31164.781,75
2011-09-26,15249,29270.841,66
2011-09-27,21231,36260.91,80
2011-09-28,25530,43693.08,85
2011-09-29,27456,46343.35,105
2011-09-30,22553,44347.06,74
2011-10-02,8332,11531.56,35
2011-10-03,25942,66243.94,68
2011-10-04,25284,48652.54,81
2011-10-05,46222,75460.77,96
2011-10-06,35367,62761.92,122
2011-10-07,30914,53692.5,88
2011-10-09,7285,12273.1,39
2011-10-10,26121,48121.66,100
2011-10-11,28477,52537.31,82
2011-10-12,17639,32083.11,88
2011-10-13,18681,37232.47,77
2011-10-14,18134,36294.58,74
2011-10-16,8649,21767.94,35
2011-10-17,31319,51925.61,89
2011-10-18,29285,45277.92,84
2011-10-19,19178,42467.72,85
2011-10-20,40855,60969.14,89
2011-10-21,24779,63173.39,64
2011-10-23,6953,12156.57,42
2011-10-24,25922,48335.52,78
2011-10-25,26818,41192.55,77
2011-10-26,20617,37729.47,95
2011-10-27,32761,57201.78,106
2011-10-28,23998,40455.26,78
2011-10-30,19943,34397.95,96
2011-10-31,21554,57327.45,72
2011-11-01,16546,29091.9,77
2011-11-02,28488,45690.08,85
2011-11-03,34314,63425.47,103
2011-11-04,35144,62594.590000000004,94
2011-11-06,23089,42513.590000000004,102
2011-11-07,31299,85705.3,93
2011-11-08,26366,57557.03,108
2011-11-09,38139,65879.97,119
2011-11-10,38079,70868.0,129
2011-11-11,28967,55107.87,105
2011-11-13,20686,33878.15,87
2011-11-14,47236,114237.40000000001,107
2011-11-15,30318,60613.8,108
2011-11-16,32955,65672.53,130
2011-11-17,31596,60901.32,137
2011-11-18,23921,51130.39,108
2011-11-20,19107,34509.21,100
2011-11-21,25705,49674.6,100
2011-11-22,35367,63863.48,135
2011-11-23,39295,79847.0,131
2011-11-24,26396,50759.21,113
2011-11-25,18923,50690.4,83
2011-11-27,10942,20279.37,57
2011-11-28,29334,56965.73,115
2011-11-29,30809,72384.82,135
2011-11-30,28356,60025.57,108
2011-12-01,27004,52068.63,121
2011-12-02,28690,57476.48,120
2011-12-04,12296,24477.47,66
2011-12-05,44497,88620.84,127
2011-12-06,30377,56558.83,115
2011-12-07,41789,75315.55,106
2011-12-08,35010,82371.55,120
2011-12-09,93949,200900.97999999998,44
