Date,StockCode,Quantity,Revenue,Transactions
2011-04-27,15034,48,6.720000000000001,2
2011-04-28,15034,240,16.8,1
2011-05-05,15034,305,46.150000000000006,2
2011-05-06,15034,192,26.880000000000003,1
2011-05-09,15034,24,3.3600000000000003,1
2011-05-10,15034,28,6.68,3
2011-05-11,15034,12,1.6800000000000002,1
2011-05-15,15034,12,1.6800000000000002,1
2011-05-22,15034,48,6.720000000000001,1
2011-05-24,15034,26,5.0200000000000005,3
2011-05-25,15034,60,8.4,3
2011-05-26,15034,96,13.440000000000001,1
2011-05-29,15034,24,3.3600000000000003,1
2011-06-01,15034,24,3.3600000000000003,1
2011-06-02,15034,240,16.8,1
2011-06-07,15034,12,1.6800000000000002,1
2011-06-09,15034,1248,90.72000000000001,2
2011-06-12,15034,12,1.6800000000000002,1
2011-06-13,15034,24,3.3600000000000003,1
2011-06-19,15034,24,3.3600000000000003,1
2011-06-20,15034,24,3.3600000000000003,1
2011-06-23,15034,12,1.6800000000000002,1
2011-06-29,15034,1,0.83,1
2011-07-01,15034,24,3.3600000000000003,1
2011-07-04,15034,3,2.4899999999999998,2
2011-07-17,15034,48,6.720000000000001,1
2011-07-18,15034,96,13.440000000000001,1
2011-07-21,15034,1,0.14,1
2011-07-22,15034,24,3.3600000000000003,1
2011-07-26,15034,4,3.32,1
2011-07-28,15034,12,1.6800000000000002,1
2011-08-01,15034,7,5.81,1
2011-08-03,15034,12,1.6800000000000002,1
2011-08-08,15034,26,21.58,2
2011-08-10,15034,50,41.5,1
2011-08-11,15034,24,3.3600000000000003,1
2011-08-18,15034,24,3.3600000000000003,1
2011-08-25,15034,24,3.3600000000000003,1
2011-08-26,15034,24,3.3600000000000003,1
2011-08-30,15034,14,11.62,5
2011-09-01,15034,24,3.3600000000000003,1
2011-09-02,15034,12,1.6800000000000002,1
2011-09-05,15034,12,1.6800000000000002,1
2011-09-06,15034,72,10.080000000000002,2
2011-09-09,15034,24,3.3600000000000003,1
2011-09-14,15034,6,4.9799999999999995,1
2011-09-15,15034,3,0.42000000000000004,1
2011-09-16,15034,12,1.6800000000000002,1
2011-09-20,15034,168,23.520000000000003,2
2011-09-21,15034,24,3.3600000000000003,1
2011-09-25,15034,24,3.3600000000000003,1
2011-09-27,15034,13,2.5100000000000002,2
2011-10-02,15034,1200,84.00000000000001,1
2011-10-03,15034,1,0.83,1
2011-10-07,15034,48,6.720000000000001,1
2011-10-12,15034,1,0.83,1
2011-10-13,15034,396,55.440000000000005,2
2011-10-24,15034,25,4.19,2
2011-10-27,15034,96,13.440000000000001,1
2011-10-30,15034,24,3.3600000000000003,1
2011-11-01,15034,60,8.4,1
2011-11-02,15034,24,3.3600000000000003,1
2011-11-03,15034,1,0.83,1
2011-11-04,15034,312,43.68000000000001,2
2011-11-08,15034,2,1.66,1
2011-11-09,15034,13,2.5100000000000002,2
2011-11-11,15034,1,0.83,1
2011-11-13,15034,12,1.6800000000000002,1
2011-11-15,15034,17,5.83,3
2011-11-16,15034,3,1.7999999999999998,2
2011-11-21,15034,48,6.720000000000001,1
2011-11-22,15034,24,3.3600000000000003,1
2011-11-24,15034,40,5.6000000000000005,3
2011-11-28,15034,12,1.6800000000000002,1
2011-11-29,15034,1,0.83,1
2011-11-30,15034,3,2.4899999999999998,1
2011-12-05,15034,1,0.83,1
2011-12-08,15034,1,0.83,1
2010-12-02,15036,48,36.0,3
2010-12-03,15036,15,12.84,2
2010-12-05,15036,12,9.0,1
2010-12-06,15036,4,5.12,2
2010-12-08,15036,13,10.28,2
2010-12-09,15036,1,1.28,1
2010-12-10,15036,3,3.84,2
2010-12-13,15036,4,5.12,1
2010-12-14,15036,12,9.0,1
2010-12-16,15036,12,9.0,1
2010-12-17,15036,7,8.96,3
2010-12-20,15036,6,7.680000000000001,2
2010-12-21,15036,24,18.0,2
2011-01-06,15036,13,10.28,2
2011-01-07,15036,5,6.4,2
2011-01-10,15036,19,24.32,2
2011-01-11,15036,12,9.0,1
2011-01-12,15036,4,5.12,2
2011-01-13,15036,121,91.25,3
2011-01-14,15036,3,3.75,1
2011-01-17,15036,15,18.75,1
2011-01-19,15036,12,9.0,1
2011-01-23,15036,12,9.0,1
2011-01-24,15036,3,3.75,2
2011-01-25,15036,48,36.0,1
2011-01-26,15036,12,9.0,1
2011-01-27,15036,48,36.0,1
2011-01-28,15036,1,1.25,1
2011-01-31,15036,649,361.25,5
2011-02-01,15036,36,27.0,3
2011-02-02,15036,4,5.0,1
2011-02-03,15036,12,15.0,1
2011-02-04,15036,1212,789.0,2
2011-02-08,15036,1,1.63,1
2011-02-09,15036,31,50.529999999999994,1
2011-02-13,15036,36,27.0,1
2011-02-14,15036,4,6.52,1
2011-02-15,15036,60,45.0,2
2011-02-16,15036,637,439.75,3
2011-02-17,15036,24,18.0,1
2011-02-18,15036,13,10.629999999999999,2
2011-02-20,15036,24,18.0,1
2011-02-22,15036,24,18.0,1
2011-02-23,15036,20,22.04,2
2011-02-24,15036,36,27.0,2
2011-02-25,15036,48,36.0,2
2011-02-28,15036,38,30.259999999999998,3
2011-03-01,15036,16,15.52,2
2011-03-03,15036,7,11.41,1
2011-03-04,15036,30,48.9,1
2011-03-07,15036,45,35.51,2
2011-03-08,15036,4,6.52,1
2011-03-09,15036,84,63.0,3
2011-03-10,15036,224,168.0,2
2011-03-13,15036,12,9.0,1
2011-03-14,15036,12,9.0,1
2011-03-16,15036,48,36.0,2
2011-03-17,15036,634,445.42,5
2011-03-18,15036,612,399.0,2
2011-03-20,15036,36,27.0,2
2011-03-21,15036,24,18.0,1
2011-03-22,15036,51,83.13,4
2011-03-27,15036,24,18.0,2
2011-03-28,15036,28,24.52,2
2011-03-30,15036,1212,831.96,3
2011-03-31,15036,1,1.63,1
2011-04-01,15036,12,9.959999999999999,1
2011-04-04,15036,6,9.78,1
2011-04-07,15036,48,36.0,1
2011-04-08,15036,93,88.71,5
2011-04-11,15036,12,9.959999999999999,1
2011-04-12,15036,12,9.959999999999999,1
2011-04-13,15036,684,501.72,4
2011-04-14,15036,24,19.919999999999998,1
2011-04-15,15036,12,9.959999999999999,1
2011-04-17,15036,120,99.6,3
2011-04-18,15036,47,47.809999999999995,6
2011-04-19,15036,78,69.53999999999999,5
2011-04-20,15036,48,39.839999999999996,4
2011-04-21,15036,1,0.83,1
2011-04-26,15036,615,444.45,2
2011-04-27,15036,94,86.02,3
2011-04-28,15036,60,43.199999999999996,1
2011-05-01,15036,24,19.919999999999998,1
2011-05-03,15036,221,187.42999999999998,3
2011-05-05,15036,665,489.15,4
2011-05-06,15036,74,63.019999999999996,4
2011-05-08,15036,12,9.959999999999999,1
2011-05-09,15036,306,253.98,5
2011-05-10,15036,266,220.77999999999997,7
2011-05-11,15036,70,58.099999999999994,4
2011-05-12,15036,939,671.37,8
2011-05-13,15036,25,20.75,2
2011-05-15,15036,12,9.959999999999999,1
2011-05-16,15036,124,104.52,6
2011-05-17,15036,601,433.63,2
2011-05-18,15036,720,531.6,2
2011-05-19,15036,78,69.53999999999999,6
2011-05-20,15036,12,9.959999999999999,1
2011-05-22,15036,108,89.63999999999999,5
2011-05-23,15036,60,49.8,3
2011-05-24,15036,118,173.14,3
2011-05-25,15036,15,24.45,1
2011-05-26,15036,144,119.52,1
2011-05-27,15036,48,39.839999999999996,1
2011-05-29,15036,12,9.959999999999999,1
2011-05-31,15036,30,48.89999999999999,2
2011-06-01,15036,26,23.18,2
2011-06-02,15036,97,74.71,5
2011-06-03,15036,40,36.4,3
2011-06-06,15036,27,24.81,2
2011-06-07,15036,136,183.27999999999997,5
2011-06-08,15036,672,449.76,4
2011-06-09,15036,762,571.26,5
2011-06-10,15036,1,1.63,1
2011-06-12,15036,12,9.959999999999999,1
2011-06-13,15036,83,77.69,4
2011-06-14,15036,68,110.83999999999999,1
2011-06-15,15036,12,9.959999999999999,1
2011-06-16,15036,1026,785.58,7
2011-06-17,15036,36,29.879999999999995,2
2011-06-19,15036,60,49.8,4
2011-06-20,15036,18,19.74,3
2011-06-21,15036,38,42.739999999999995,4
2011-06-22,15036,36,29.879999999999995,2
2011-06-23,15036,49,41.47,5
2011-06-24,15036,16,16.479999999999997,2
2011-06-26,15036,12,9.959999999999999,1
2011-06-27,15036,72,59.76,2
2011-06-28,15036,12,9.959999999999999,1
2011-06-29,15036,5,8.149999999999999,1
2011-06-30,15036,30,29.699999999999996,2
2011-07-01,15036,24,19.919999999999998,1
2011-07-03,15036,24,19.919999999999998,1
